candidate_id,feature_set,model,n_features,config,overall_cv_cindex,tnbc_cv_cindex,valid_tnbc_folds,composite_cv_cindex,fold_cindexes,fold_tnbc_cindexes
hallmark50__Random_Survival_Forest__32209571,hallmark50,Random_Survival_Forest,52,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300, ""tnbc_weight"": 2}",0.5751551916811295,0.3613970588235294,4,0.4682761252523294,"[0.6502890173410405, 0.6107784431137725, 0.5681492109038737, 0.545016077170418, 0.5015432098765432]","[0.3333333333333333, NaN, 0.16666666666666666, 0.47058823529411764, 0.475]"
hallmark50_interactions__Gradient_Boosted_Survival__66835057,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.5838720490743242,0.35130718954248363,4,0.4675896193084039,"[0.6473988439306358, 0.6197604790419161, 0.5552367288378766, 0.49356913183279744, 0.6033950617283951]","[0.25, NaN, 0.1111111111111111, 0.29411764705882354, 0.75]"
hallmark50_interactions__Gradient_Boosted_Survival__76801816,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5938973452896118,0.33962418300653596,4,0.4667607641480739,"[0.6315028901734104, 0.6264970059880239, 0.6054519368723099, 0.5273311897106109, 0.5787037037037037]","[0.25, NaN, 0.05555555555555555, 0.35294117647058826, 0.7]"
hallmark50__Random_Survival_Forest__28082283,hallmark50,Random_Survival_Forest,52,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300, ""tnbc_weight"": 2}",0.5765504287984005,0.3560866013071895,4,0.466318515052795,"[0.6401734104046243, 0.6152694610778443, 0.5724533715925395, 0.5594855305466238, 0.49537037037037035]","[0.25, NaN, 0.1111111111111111, 0.5882352941176471, 0.475]"
hallmark50__Random_Survival_Forest__74813842,hallmark50,Random_Survival_Forest,52,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300, ""tnbc_weight"": 2}",0.57626141145736,0.3560866013071895,4,0.46617400638227474,"[0.638728323699422, 0.6152694610778443, 0.5724533715925395, 0.5594855305466238, 0.49537037037037035]","[0.25, NaN, 0.1111111111111111, 0.5882352941176471, 0.475]"
hallmark50_interactions__Gradient_Boosted_Survival__35443320,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 300, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.5812228022819351,0.3326797385620915,4,0.45695127042201333,"[0.6582369942196532, 0.6407185628742516, 0.5624103299856528, 0.46141479099678456, 0.5833333333333334]","[0.16666666666666666, NaN, 0.1111111111111111, 0.35294117647058826, 0.7]"
hallmark50__Gradient_Boosted_Survival__24560118,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 1}",0.5779877547549587,0.33325163398692814,4,0.4556196943709434,"[0.611271676300578, 0.6347305389221557, 0.5710186513629842, 0.5096463022508039, 0.5632716049382716]","[0.16666666666666666, NaN, 0.2222222222222222, 0.29411764705882354, 0.65]"
component7_interactions__Gradient_Boosted_Survival__4197476,component7_interactions,Gradient_Boosted_Survival,43,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.5717793518950809,0.33558006535947715,4,0.453679708627279,"[0.5845375722543352, 0.5688622754491018, 0.6040172166427547, 0.6061093247588425, 0.49537037037037035]","[0.16666666666666666, NaN, 0.3888888888888889, 0.4117647058823529, 0.375]"
hallmark50__Elastic_Net_Cox__6417078,hallmark50,Elastic_Net_Cox,52,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""tnbc_weight"": 4}",0.5895464414134759,0.31348039215686274,4,0.4515134167851693,"[0.5982658959537572, 0.5508982035928144, 0.6614060258249641, 0.572347266881029, 0.5648148148148148]","[0.16666666666666666, NaN, 0.16666666666666666, 0.47058823529411764, 0.45]"
hallmark50_interactions__Gradient_Boosted_Survival__24560118,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 1}",0.5713112343136384,0.3270016339869281,4,0.4491564341502833,"[0.6127167630057804, 0.6287425149700598, 0.5710186513629842, 0.502411575562701, 0.5416666666666666]","[0.16666666666666666, NaN, 0.2222222222222222, 0.29411764705882354, 0.625]"
hallmark50__Gradient_Boosted_Survival__76801816,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5797301655620607,0.3093137254901961,4,0.4445219455261284,"[0.6184971098265896, 0.6010479041916168, 0.5982783357245337, 0.5144694533762058, 0.566358024691358]","[0.16666666666666666, NaN, 0.0, 0.47058823529411764, 0.6]"
component7_interactions__Gradient_Boosted_Survival__56931813,component7_interactions,Gradient_Boosted_Survival,43,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5471442308326759,0.3368464052287582,4,0.44199531803071707,"[0.5513005780346821, 0.5411676646706587, 0.599713055954089, 0.5659163987138264, 0.47762345679012347]","[0.25, NaN, 0.4444444444444444, 0.35294117647058826, 0.3]"
hallmark50__Gradient_Boosted_Survival__56931813,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.542860050927084,0.3281862745098039,4,0.43552316271844393,"[0.5960982658959537, 0.6130239520958084, 0.5738880918220947, 0.46061093247588425, 0.470679012345679]","[0.3333333333333333, NaN, 0.0, 0.5294117647058824, 0.45]"
hallmark50__Gradient_Boosted_Survival__4197476,hallmark50,Gradient_Boosted_Survival,52,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.541999244097354,0.3121936274509804,4,0.4270964357741672,"[0.6286127167630058, 0.5673652694610778, 0.5322812051649928, 0.4871382636655949, 0.49459876543209874]","[0.3333333333333333, NaN, 0.0, 0.35294117647058826, 0.5625]"
hallmark50_interactions__Gradient_Boosted_Survival__4197476,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 2}",0.5297562717389542,0.3214460784313725,4,0.4256011750851634,"[0.6264450867052023, 0.5598802395209581, 0.5351506456241033, 0.4766881028938907, 0.4506172839506173]","[0.4166666666666667, NaN, 0.0, 0.29411764705882354, 0.575]"
hallmark50_interactions__Gradient_Boosted_Survival__56931813,hallmark50_interactions,Gradient_Boosted_Survival,57,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8, ""tnbc_weight"": 4}",0.5190675030896332,0.2778186274509804,4,0.3984430652703068,"[0.6047687861271677, 0.5793413173652695, 0.5667144906743186, 0.432475884244373, 0.41203703703703703]","[0.3333333333333333, NaN, 0.0, 0.35294117647058826, 0.425]"
