cohort,threshold,strategy,net_benefit,n,events,analysis_type
GSE96058,0.175,PAM50-ROR,0.04132231404958675,1430,299,exploratory_secondary
GSE96058,0.2,Treat all,0.011363636363636326,1430,299,exploratory_secondary
GSE96058,0.2,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.2,Pathway ML,0.036363636363636376,1430,299,exploratory_secondary
GSE96058,0.2,Cox baseline,0.011713286713286725,1430,299,exploratory_secondary
GSE96058,0.2,PAM50-ROR,0.011363636363636354,1430,299,exploratory_secondary
GSE96058,0.225,Treat all,-0.020527859237536666,1430,299,exploratory_secondary
GSE96058,0.225,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.225,Pathway ML,0.011030904579291678,1430,299,exploratory_secondary
GSE96058,0.225,Cox baseline,-0.01080532370854953,1430,299,exploratory_secondary
GSE96058,0.225,PAM50-ROR,-0.020527859237536694,1430,299,exploratory_secondary
GSE96058,0.25,Treat all,-0.054545454545454536,1430,299,exploratory_secondary
GSE96058,0.25,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.25,Pathway ML,-0.01655011655011654,1430,299,exploratory_secondary
GSE96058,0.25,Cox baseline,-0.027039627039627007,1430,299,exploratory_secondary
GSE96058,0.25,PAM50-ROR,-0.054545454545454536,1430,299,exploratory_secondary
GSE96058,0.275,Treat all,-0.09090909090909097,1430,299,exploratory_secondary
GSE96058,0.275,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.275,Pathway ML,-0.04540631782011095,1430,299,exploratory_secondary
GSE96058,0.275,Cox baseline,-0.0362912949119846,1430,299,exploratory_secondary
GSE96058,0.275,PAM50-ROR,-0.09090909090909097,1430,299,exploratory_secondary
GSE96058,0.3,Treat all,-0.12987012987012989,1430,299,exploratory_secondary
GSE96058,0.3,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.3,Pathway ML,-0.07292707292707298,1430,299,exploratory_secondary
GSE96058,0.3,Cox baseline,-0.039460539460539484,1430,299,exploratory_secondary
GSE96058,0.3,PAM50-ROR,-0.12987012987012989,1430,299,exploratory_secondary
GSE96058,0.325,Treat all,-0.17171717171717174,1430,299,exploratory_secondary
GSE96058,0.325,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.325,Pathway ML,-0.10725200725200729,1430,299,exploratory_secondary
GSE96058,0.325,Cox baseline,-0.03698523698523698,1430,299,exploratory_secondary
GSE96058,0.325,PAM50-ROR,-0.17171717171717168,1430,299,exploratory_secondary
GSE96058,0.35,Treat all,-0.21678321678321674,1430,299,exploratory_secondary
GSE96058,0.35,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.35,Pathway ML,0.0021516944593867743,1430,299,exploratory_secondary
GSE96058,0.35,Cox baseline,-0.04072081764389454,1430,299,exploratory_secondary
GSE96058,0.35,PAM50-ROR,-0.012802582033351266,1430,299,exploratory_secondary
GSE96058,0.375,Treat all,-0.2654545454545454,1430,299,exploratory_secondary
GSE96058,0.375,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.375,Pathway ML,-0.009510489510489509,1430,299,exploratory_secondary
GSE96058,0.375,Cox baseline,-0.040559440559440524,1430,299,exploratory_secondary
GSE96058,0.375,PAM50-ROR,0.0,1430,299,exploratory_secondary
GSE96058,0.4,Treat all,-0.31818181818181823,1430,299,exploratory_secondary
GSE96058,0.4,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.4,Pathway ML,-0.015617715617715633,1430,299,exploratory_secondary
GSE96058,0.4,Cox baseline,-0.04918414918414922,1430,299,exploratory_secondary
GSE96058,0.4,PAM50-ROR,0.0,1430,299,exploratory_secondary
GSE96058,0.425,Treat all,-0.3754940711462451,1430,299,exploratory_secondary
GSE96058,0.425,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.425,Pathway ML,-0.031042870173304968,1430,299,exploratory_secondary
GSE96058,0.425,Cox baseline,-0.0505928853754941,1430,299,exploratory_secondary
GSE96058,0.425,PAM50-ROR,0.0,1430,299,exploratory_secondary
GSE96058,0.45,Treat all,-0.4380165289256197,1430,299,exploratory_secondary
GSE96058,0.45,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.45,Pathway ML,-0.031023521932612846,1430,299,exploratory_secondary
GSE96058,0.45,Cox baseline,-0.056643356643356624,1430,299,exploratory_secondary
GSE96058,0.45,PAM50-ROR,0.0,1430,299,exploratory_secondary
GSE96058,0.475,Treat all,-0.5064935064935064,1430,299,exploratory_secondary
GSE96058,0.475,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.475,Pathway ML,-0.043556443556443544,1430,299,exploratory_secondary
GSE96058,0.475,Cox baseline,-0.05507825507825506,1430,299,exploratory_secondary
GSE96058,0.475,PAM50-ROR,0.0,1430,299,exploratory_secondary
GSE96058,0.5,Treat all,-0.5818181818181818,1430,299,exploratory_secondary
GSE96058,0.5,Treat none,0.0,1430,299,exploratory_secondary
GSE96058,0.5,Pathway ML,0.013986013986013998,1430,299,exploratory_secondary
